wk_full,wk,id,bundesland_de,bundesland_en
266 Neckar-Zaber,Neckar-Zaber,266,Baden-Württemberg,Baden-Württemberg
255 Neu-Ulm,Neu-Ulm,255,Bayern,Bavaria
270 Aalen – Heidenheim,Aalen – Heidenheim,270,Baden-Württemberg,Baden-Württemberg
271 Karlsruhe-Stadt,Karlsruhe-Stadt,271,Baden-Württemberg,Baden-Württemberg
215 Fürstenfeldbruck,Fürstenfeldbruck,215,Bayern,Bavaria
214 Freising,Freising,214,Bayern,Bavaria
230 Rottal-Inn,Rottal-Inn,230,Bayern,Bavaria
213 Erding – Ebersberg,Erding – Ebersberg,213,Bayern,Bavaria
212 Altötting,Altötting,212,Bayern,Bavaria
252 Augsburg-Stadt,Augsburg-Stadt,252,Bayern,Bavaria
272 Karlsruhe-Land,Karlsruhe-Land,272,Baden-Württemberg,Baden-Württemberg
265 Ludwigsburg,Ludwigsburg,265,Baden-Württemberg,Baden-Württemberg
269 Backnang – Schwäbisch Gmünd,Backnang – Schwäbisch Gmünd,269,Baden-Württemberg,Baden-Württemberg
263 Göppingen,Göppingen,263,Baden-Württemberg,Baden-Württemberg
273 Rastatt,Rastatt,273,Baden-Württemberg,Baden-Württemberg
220 München-West/Mitte,München-West/Mitte,220,Bayern,Bavaria
217 München-Nord,München-Nord,217,Bayern,Bavaria
218 München-Ost,München-Ost,218,Bayern,Bavaria
229 Passau,Passau,229,Bayern,Bavaria
259 Stuttgart II,Stuttgart II,259,Baden-Württemberg,Baden-Württemberg
258 Stuttgart I,Stuttgart I,258,Baden-Württemberg,Baden-Württemberg
260 Böblingen,Böblingen,260,Baden-Württemberg,Baden-Württemberg
279 Pforzheim,Pforzheim,279,Baden-Württemberg,Baden-Württemberg
224 Starnberg – Landsberg am Lech,Starnberg – Landsberg am Lech,224,Bayern,Bavaria
284 Offenburg,Offenburg,284,Baden-Württemberg,Baden-Württemberg
223 Bad Tölz-Wolfratshausen – Miesbach,Bad Tölz-Wolfratshausen – Miesbach,223,Bayern,Bavaria
222 Rosenheim,Rosenheim,222,Bayern,Bavaria
219 München-Süd,München-Süd,219,Bayern,Bavaria
292 Biberach,Biberach,292,Baden-Württemberg,Baden-Württemberg
253 Augsburg-Land,Augsburg-Land,253,Bayern,Bavaria
221 München-Land,München-Land,221,Bayern,Bavaria
225 Traunstein,Traunstein,225,Bayern,Bavaria
261 Esslingen,Esslingen,261,Baden-Württemberg,Baden-Württemberg
262 Nürtingen,Nürtingen,262,Baden-Württemberg,Baden-Württemberg
290 Tübingen,Tübingen,290,Baden-Württemberg,Baden-Württemberg
280 Calw,Calw,280,Baden-Württemberg,Baden-Württemberg
283 Emmendingen – Lahr,Emmendingen – Lahr,283,Baden-Württemberg,Baden-Württemberg
281 Freiburg,Freiburg,281,Baden-Württemberg,Baden-Württemberg
257 Ostallgäu,Ostallgäu,257,Bayern,Bavaria
295 Zollernalb – Sigmaringen,Zollernalb – Sigmaringen,295,Baden-Württemberg,Baden-Württemberg
226 Weilheim,Weilheim,226,Bayern,Bavaria
294 Ravensburg,Ravensburg,294,Baden-Württemberg,Baden-Württemberg
291 Ulm,Ulm,291,Baden-Württemberg,Baden-Württemberg
286 Schwarzwald-Baar,Schwarzwald-Baar,286,Baden-Württemberg,Baden-Württemberg
285 Rottweil – Tuttlingen,Rottweil – Tuttlingen,285,Baden-Württemberg,Baden-Württemberg
289 Reutlingen,Reutlingen,289,Baden-Württemberg,Baden-Württemberg
282 Lörrach – Müllheim,Lörrach – Müllheim,282,Baden-Württemberg,Baden-Württemberg
288 Waldshut,Waldshut,288,Baden-Württemberg,Baden-Württemberg
256 Oberallgäu,Oberallgäu,256,Bayern,Bavaria
287 Konstanz,Konstanz,287,Baden-Württemberg,Baden-Württemberg
293 Bodensee,Bodensee,293,Baden-Württemberg,Baden-Württemberg
